fy,farebox_cr,nonfarebox_cr,total_revenue_cr
2025,196.7,0.0,196.7
2026,245.9,0.0,245.9
2027,307.3,30.7,338.0
2028,384.1,38.4,422.5
2029,480.0,48.0,528.0
2030,599.9,60.0,659.9
2031,749.8,75.0,824.8
2032,780.6,78.1,858.7
2033,812.7,81.3,894.0
2034,846.1,84.6,930.7
2035,880.9,88.1,969.0
2036,917.1,91.7,1008.8
2037,954.8,95.5,1050.2
2038,994.0,99.4,1093.4
2039,1034.9,103.5,1138.3
2040,1077.4,107.7,1185.1
2041,1121.7,112.2,1233.8
2042,1167.8,116.8,1284.5
2043,1215.8,121.6,1337.3
2044,1265.7,126.6,1392.3
2045,1317.8,131.8,1449.5
