coe_reduction_bp,new_wacc_pct,firr_pct,viability_gap_pp,viable
0,2.629,1.921,-0.708,False
10,2.57334,1.921,-0.6523399999999999,False
20,2.51768,1.921,-0.5966799999999998,False
30,2.4620200000000003,1.921,-0.5410200000000001,False
40,2.4063600000000003,1.921,-0.48535999999999996,False
50,2.3507,1.921,-0.42969999999999986,False
60,2.29504,1.921,-0.37404000000000015,False
70,2.23938,1.921,-0.31838000000000005,False
80,2.18372,1.921,-0.26271999999999995,False
90,2.12806,1.921,-0.20705999999999988,False
100,2.0724,1.921,-0.1513999999999998,False
110,2.0167400000000004,1.921,-0.09574000000000006,False
120,1.9610800000000002,1.921,-0.04007999999999998,False
130,1.9054200000000001,1.921,0.015580000000000108,True
140,1.8497600000000003,1.921,0.07123999999999985,True
150,1.7941000000000003,1.921,0.12689999999999993,True
